backend,idx,n_true,status,abs_dn,est_n
Fused-UKF,25,0.6646272347754884,ok,0.08645461349889261,0.5781726212765957
MLP,27,0.6724891983490113,ok,0.18212124085913278,0.49036795748987855
NN-UKF,26,0.6671749091894984,ok,0.056767286152849206,0.6104076230366492
Bekker-UKF,27,0.6724891983490113,ok,0.02917887269111663,0.6433103256578947
Fused-UKF,26,0.6671749091894984,ok,0.08498407289758525,0.5821908362919131
Fused-UKF,27,0.6724891983490113,ok,0.09189846957054348,0.5805907287784678
NN-UKF,27,0.6724891983490113,ok,0.04940084051535576,0.6230883578336556
MLP,29,0.6833218037784593,ok,0.19838701265091774,0.48493479112754156
Bekker-UKF,28,0.6785759777998073,ok,0.09750401994540114,0.5810719578544061
MLP,28,0.6785759777998073,ok,0.11159787078226335,0.5669781070175439
NN-UKF,28,0.6785759777998073,ok,0.08651200542411674,0.5920639723756905
Fused-UKF,28,0.6785759777998073,ok,0.09479709252256052,0.5837788852772468
Bekker-UKF,29,0.6833218037784593,ok,0.035812365002949154,0.6475094387755101
NN-UKF,29,0.6833218037784593,ok,0.023563183354567085,0.6597586204238922
Bekker-UKF,30,0.6929884379489197,ok,0.07928722989522852,0.6137012080536912
NN-UKF,30,0.6929884379489197,ok,0.06044144147625652,0.6325469964726632
Fused-UKF,29,0.6833218037784593,ok,0.05562014495492995,0.6277016588235294
MLP,30,0.6929884379489197,ok,0.18450038149730685,0.5084880564516129
Fused-UKF,30,0.6929884379489197,ok,0.1153321622287552,0.5776562757201645
MLP,31,0.6956924832816928,ok,0.2169317734850199,0.47876070979667285
Bekker-UKF,32,0.6998874444215044,ok,0.09300792093157151,0.6068795234899329
Bekker-UKF,31,0.6956924832816928,ok,0.02188836889054868,0.6738041143911441
Fused-UKF,31,0.6956924832816928,ok,0.1059067403705396,0.5897857429111532
NN-UKF,31,0.6956924832816928,ok,0.030032854998864544,0.6656596282828282
MLP,32,0.6998874444215044,ok,0.17052216616063487,0.5293652782608695
NN-UKF,32,0.6998874444215044,ok,0.07514221850206493,0.6247452259194395
MLP,33,0.7059000341280017,ok,0.24172727563068508,0.46417275849731665
Fused-UKF,32,0.6998874444215044,ok,0.1237354503857192,0.5761519940357852
Bekker-UKF,33,0.7059000341280017,ok,0.040550876409880976,0.6653491577181208
Fused-UKF,33,0.7059000341280017,ok,0.12011430765097775,0.585785726477024
NN-UKF,33,0.7059000341280017,ok,0.09125764410951742,0.6146423900184843
MLP,34,0.7104780432111659,ok,0.2006868723926606,0.5097911708185053
NN-UKF,34,0.7104780432111659,ok,0.11847450531837478,0.5920035378927911
Bekker-UKF,34,0.7104780432111659,ok,0.09669388159500447,0.6137841616161614
MLP,35,0.7198878696396002,ok,0.24522782016963557,0.4746600494699646
Bekker-UKF,35,0.7198878696396002,ok,0.0924469844544149,0.6274408851851853
Fused-UKF,34,0.7104780432111659,ok,0.13179015126617566,0.5786878919449903
NN-UKF,35,0.7198878696396002,ok,0.08492387671924617,0.634963992920354
Fused-UKF,35,0.7198878696396002,ok,0.13551924874985166,0.5843686208897485
Fused-UKF,36,0.7223339234087209,ok,0.16243209531647773,0.5599018280922432
Bekker-UKF,36,0.7223339234087209,ok,0.10949839503992664,0.6128355283687943
MLP,36,0.7223339234087209,ok,0.1450436145574968,0.5772903088512241
NN-UKF,36,0.7223339234087209,ok,0.12027460327102724,0.6020593201376937
MLP,37,0.7309120395914762,ok,0.14884173094950093,0.5820703086419753
Bekker-UKF,38,0.7363502606254142,ok,0.09856908301923673,0.6377811776061775
MLP,38,0.7363502606254142,ok,0.1567545557073814,0.5795957049180328
Fused-UKF,37,0.7309120395914762,ok,0.1441351482057085,0.5867768913857677
NN-UKF,37,0.7309120395914762,ok,0.14164305878868388,0.5892689808027923
Bekker-UKF,37,0.7309120395914762,ok,0.1564004619741477,0.5745115776173285
Fused-UKF,38,0.7363502606254142,ok,0.13956416161551333,0.5967860990099009
NN-UKF,38,0.7363502606254142,ok,0.08943859738106108,0.6469116632443531
MLP,39,0.7436249300409612,ok,0.2505019175409612,0.4931230125
NN-UKF,39,0.7436249300409612,ok,0.1470188912402557,0.5966060388007055
Fused-UKF,39,0.7436249300409612,ok,0.16506257304722438,0.5785623569937368
Bekker-UKF,39,0.7436249300409612,ok,0.1373287340276721,0.6062961960132891
